YEAR,BookID,PhysicalDescription,Place,Publisher,MediaType,Title,ResTitle
2060,4881,329,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Samasamayik Sajha Katha,Mohan Raj Sharma | Rajendra Subedi
1987,945,538,New Delhi,Prentice-Hall,TEXT MATERIAL,Electronic Fundamentals & Applications,John D. Ryder
2009,4156,1495,New Delhi,Wiley Eastern Limited,TEXT MATERIAL,Advanced organic Chemistry,Jerry March
2014,9655,752,New Delhi,Vikas Publishing House,TEXT MATERIAL,A Textbook of Botany Vol. 1,S.N. Pandey | P.S. Trivedi
2010,10303,330,New York,Cambridge University,TEXT MATERIAL,Rhetoric and Composition,Steven Lynn
2013,8275,564,"Bhotahity, Kathmandu",M.K. Publishers & Distributors,TEXT MATERIAL,Principles of Mangement in Nepal,Dr. Govind Ram Agrawal
1988,8687,556+A-62,New York,W.W. Norton & Company,TEXT MATERIAL,Modern International Economics,Wilfred J. Ethier
2004,6502,316-A+167-B+140-C+232-D,New Delhi,Kalyani Publishers,TEXT MATERIAL,Monetary Economics,R.R. Paul
2009,6858,48,"Kathmandu, Nepal","Central Department of Sociology, Tri-Chandra Multiple Campus",TEXT MATERIAL,Socio Economic Status of Tharu Women,Chetana Pant
2067,7180,195,"Kathmandu, Nepal",Brother Books,TEXT MATERIAL,Nepalka Pradhanmantri,Yam Chaulagain
1903,156,640,Moscow,Foreign Language Publishing House,TEXT MATERIAL,Selected Short Stories,M. Gorky
2008,4050,956,London,English Language Book Society,TEXT MATERIAL,Organic Chemistry Vol.2:,I.L. Finar
